LOCATION,MAIN,BIRM,HED,HOLL,KENT,KINGRD,LAG,LOCKE,MAUM,MOTT,OREG,WAREHOUSE,PTPL,RC,SANG,SOUTH,SYLV,TH,WASH,WATV,WTOL
MAIN,0,3.25,6.01,15.87,2.12,12.6,2.64,2.29,8.36,1.78,5.51,8.47,6.65,6.3,5.87,2.33,12.56,3.53,8.22,15.28,4.33
BIRM,3.25,0,9.15,19.44,5.87,15.8,4.84,2.67,11.5,9.38,4.14,14.33,6.24,13.46,9.44,4.54,12.33,6.67,11.79,18.42,6.79
HED,6.01,9.15,0,5.74,8.36,12,10.15,6.86,3.46,5.2,9.76,5.63,14.64,5.34,5.95,4.55,9.02,3.08,8.86,10.4,9.31
HOLL,15.87,19.44,5.74,0,14.32,5.5,15.48,18.64,8.15,8.71,22.23,4.09,19.97,4.59,11.44,8.65,13.49,6.86,12.69,10.76,14.7
KENT,2.12,5.87,8.36,14.32,0,10.8,1.11,3.67,10.75,2.5,8.13,8.68,5.88,6.88,3.18,5.18,10.58,4.05,6.39,17.64,1.69
KINGRD,12.6,15.8,12,5.5,10.8,0,11.8,15.6,13.1,10.2,18.5,6.4,15.9,5.8,6.7,14.4,2.7,10.7,6.8,16.2,10.5
LAG,2.64,4.84,10.15,15.48,1.11,11.8,0,3.83,12.53,5.03,7.85,9.84,5.59,9.1,5.08,6.95,11.76,5.83,7.55,19.43,1.84
LOCKE,2.29,2.67,6.86,18.64,3.67,15.6,3.83,0,10.58,3.44,3.71,9.1,7.61,10.16,8.9,2.63,15.59,5.74,11.56,17.82,7.76
MAUM,8.36,11.5,3.46,8.15,10.75,13.1,12.53,10.58,0,7.83,12.09,6.74,16.98,7.24,13.15,6.89,14.71,6.06,15.46,7.17,11.66
MOTT,1.78,9.39,5.2,8.71,2.5,10.2,5.03,3.44,7.83,0,6.37,5.02,9.03,4.52,3.9,2.36,11.88,2.22,7.96,14.77,4.16
OREG,5.51,4.14,9.76,22.23,8.13,18.5,7.85,3.71,12.09,6.37,0,16.59,8.6,15.83,11.8,5.45,18.48,7.07,14.3,21.1,9.18
WAREHOUSE,8.47,14.33,5.63,4.09,8.68,6.4,9.84,9.1,6.74,5.02,16.59,0,14.33,0.5,4.3,7.31,5.56,5.22,7.21,13,7.54
PTPL,6.65,6.24,14.64,19.97,5.88,15.9,5.59,7.61,16.98,9.03,8.6,14.33,0,13.25,9.22,11.1,15.91,9.97,12.04,23.92,6.93
RC,6.3,13.46,5.34,4.59,6.88,5.8,9.1,10.16,7.24,4.52,15.83,0.5,13.25,0,3.79,7.02,5.84,4.93,6.71,13.71,6.94
SANG,5.87,9.44,5.95,11.44,3.18,6.7,5.08,8.9,13.15,3.9,11.8,4.3,9.22,3.79,0,7.67,7.7,4.71,3.5,18.99,3.24
SOUTH,2.33,4.54,4.55,8.65,5.18,14.4,6.95,2.63,6.89,2.36,5.45,7.31,11.1,7.02,7.67,0,14.35,2.07,9.88,13.83,6.08
SYLV,12.56,12.33,9.02,13.49,10.58,2.7,11.76,15.59,14.71,11.88,18.48,5.56,15.91,5.84,7.7,14.35,0,12.96,4.1,17.58,11.38
TH,3.53,6.67,3.08,6.86,4.05,10.7,5.83,5.74,6.06,2.22,7.07,5.22,9.97,4.93,4.71,2.07,12.96,0,8.76,13.01,4.96
WASH,8.22,11.79,8.86,12.69,6.39,6.8,7.55,11.56,15.46,7.96,14.3,7.21,12.04,6.71,3.5,9.88,4.1,8.76,0,20.66,4.25
WATV,15.28,18.42,10.4,10.76,17.64,16.2,19.43,17.82,7.17,14.77,21.1,13,23.92,13.71,18.99,13.83,17.58,13.01,20.66,0,18.58
WTOL,4.33,6.79,9.31,14.7,1.69,10.5,1.84,7.76,11.66,4.16,9.18,7.54,6.93,6.94,3.24,6.08,11.38,4.96,4.25,18.58,0
